months,access-bank_office,access-atm,access-edc,access-dfs_agents,access-lakupandai_agents,access-p2p_user,usage-saving_account,usage-loan_account,usage-msmes_account,usage-debit_transactions,usage-credit_transactions,usage-emoney,usage-emoney_transactions,usage-p2p_volume,quality-complaint_resolved,quality-real_interest_rate
2012-01-01,12,25,396847,0,0,0,812,215,40,207902,18460,15,256,0,1.65,6
2012-02-01,12,25,396847,0,0,0,624,211,42,202857,17075,15,325,0,1.65,5.75
2012-03-01,12,26,396847,0,0,0,648,213,42,225448,18164,16,348,0,1.65,5.75
2012-04-01,12,27,396847,0,0,0,639,212,40,213400,17779,16,334,0,1.65,5.75
2012-05-01,13,28,396847,0,0,0,677,216,43,231959,19091,16,343,0,1.65,5.75
2012-06-01,13,29,396847,0,0,0,651,218,44,243242,18238,17,374,0,1.65,5.75
2012-07-01,13,29,396847,0,0,0,662,218,45,251360,19614,18,380,0,1.65,5.75
2012-08-01,14,31,396847,0,0,0,683,221,44,250418,19065,19,367,0,1.65,5.75
2012-09-01,14,32,396847,0,0,0,685,221,45,237818,17307,20,347,0,1.65,5.75
2012-10-01,14,33,396847,0,0,0,695,222,44,242484,17971,20,349,0,1.65,5.75
2012-11-01,14,34,396847,0,0,0,700,223,45,247648,18748,21,354,0,1.65,5.75
2012-12-01,14,36,396847,0,0,0,708,223,45,269572,20068,22,381,0,1.65,5.75
2013-01-01,14,35,406792,0,0,0,707,219,45,267121,20022,22,378,0,1.65,5.75
2013-02-01,14,35,243088,0,0,0,925,220,45,244817,17787,23,265,0,1.65,5.75
2013-03-01,14,35,248937,0,0,0,936,220,46,280805,18858,24,300,0,1.65,5.75
2013-04-01,14,36,260019,0,0,0,955,220,47,283160,20175,25,297,0,1.65,5.75
2013-05-01,14,36,267228,0,0,0,950,214,48,289373,19791,26,305,0,1.65,5.75
2013-06-01,14,37,284547,0,0,0,723,216,49,285433,19591,26,395,0,1.65,6
2013-07-01,14,37,584558,0,0,0,976,218,50,315786,22145,27,324,0,1.65,6.5
2013-08-01,15,37,597240,0,0,0,750,218,50,283305,20160,27,378,0,1.65,7
2013-09-01,15,38,607988,0,0,0,767,219,50,284942,19024,28,372,0,1.65,7.25
2013-10-01,15,39,616893,0,0,0,786,220,51,306630,20368,28,390,0,1.65,7.25
2013-11-01,15,41,627802,0,0,0,820,222,52,295725,19370,29,361,0,1.65,7.5
2013-12-01,15,42,655938,0,0,0,863,217,53,324053,21806,36,375,0,1.65,7.5
